entry,wer,time,accuracy
128,0.5483870967741935,0.26633501052856445,0.4516129032258065
129,0.06666666666666667,0.26356029510498047,0.9333333333333333
130,0.28125,0.2847013473510742,0.71875
131,0.1,0.2585594654083252,0.9
132,0.037037037037037035,0.27259039878845215,0.962962962962963
133,0.05,0.2606475353240967,0.95
134,0.12,0.2662215232849121,0.88
135,0.30434782608695654,0.2628793716430664,0.6956521739130435
136,0.125,0.2624802589416504,0.875
137,0.4827586206896552,0.2783808708190918,0.5172413793103448
138,0.40625,0.27686524391174316,0.59375
139,0.13333333333333333,0.2586185932159424,0.8666666666666667
140,0.08,0.2662529945373535,0.92
141,0.16666666666666666,0.261502742767334,0.8333333333333334
142,0.14285714285714285,0.2580530643463135,0.8571428571428572
143,0.034482758620689655,0.274198055267334,0.9655172413793104
144,0.45652173913043476,0.2745530605316162,0.5434782608695652
145,0.06666666666666667,0.26145124435424805,0.9333333333333333
146,0.07142857142857142,0.2664496898651123,0.9285714285714286
147,0.7450980392156863,0.28165316581726074,0.2549019607843137
148,0.5925925925925926,0.2627604007720947,0.40740740740740744
149,0.19230769230769232,0.28480100631713867,0.8076923076923077
150,0.11428571428571428,0.27042174339294434,0.8857142857142857
151,0.15789473684210525,0.25533628463745117,0.8421052631578947
152,0.06666666666666667,0.26385927200317383,0.9333333333333333
153,0.13333333333333333,0.2654895782470703,0.8666666666666667
154,0.0,0.259077787399292,1.0
155,0.14285714285714285,0.27172422409057617,0.8571428571428572
156,0.09523809523809523,0.2647132873535156,0.9047619047619048
157,0.08695652173913043,0.2730135917663574,0.9130434782608696
158,0.043478260869565216,0.2761845588684082,0.9565217391304348
159,0.09090909090909091,0.24637508392333984,0.9090909090909091
160,0.05,0.2871577739715576,0.95
161,0.59375,0.26773691177368164,0.40625
162,0.6333333333333333,0.25749921798706055,0.3666666666666667
163,0.1,0.2579762935638428,0.9
164,0.16666666666666666,0.25597167015075684,0.8333333333333334
165,0.11764705882352941,0.2596867084503174,0.8823529411764706
166,0.058823529411764705,0.280198335647583,0.9411764705882353
167,0.46875,0.2722938060760498,0.53125
168,0.23809523809523808,0.26576995849609375,0.7619047619047619
169,0.7407407407407407,0.2680323123931885,0.2592592592592593
170,0.02857142857142857,0.27019548416137695,0.9714285714285714
171,0.06666666666666667,0.259716272354126,0.9333333333333333
172,0.5517241379310345,0.29105377197265625,0.4482758620689655
173,0.15,0.2751901149749756,0.85
174,0.15789473684210525,0.2666456699371338,0.8421052631578947
175,0.15,0.2724640369415283,0.85
176,0.2,0.26456689834594727,0.8
177,0.3157894736842105,0.2672252655029297,0.6842105263157895
178,0.07142857142857142,0.25629353523254395,0.9285714285714286
179,0.05714285714285714,0.28196263313293457,0.9428571428571428
180,0.07142857142857142,0.2637515068054199,0.9285714285714286
181,0.18181818181818182,0.24458885192871094,0.8181818181818181
182,0.047619047619047616,0.26725292205810547,0.9523809523809523
183,0.09090909090909091,0.26873183250427246,0.9090909090909091
184,0.125,0.2737112045288086,0.875
185,0.08333333333333333,0.26381444931030273,0.9166666666666666
186,0.2631578947368421,0.2751352787017822,0.736842105263158
187,0.5789473684210527,0.26738476753234863,0.42105263157894735
188,0.14285714285714285,0.2644326686859131,0.8571428571428572
189,0.058823529411764705,0.26065707206726074,0.9411764705882353
190,0.07407407407407407,0.2724621295928955,0.9259259259259259
191,0.1,0.25753235816955566,0.9
192,0.125,0.2700037956237793,0.875
193,0.0,0.2609851360321045,1.0
194,0.08333333333333333,0.2653968334197998,0.9166666666666666
195,0.3333333333333333,0.2551591396331787,0.6666666666666667
196,0.3888888888888889,0.26097607612609863,0.6111111111111112
197,0.1,0.2645683288574219,0.9
198,0.55,0.2716031074523926,0.44999999999999996
199,0.034482758620689655,0.28334760665893555,0.9655172413793104
200,0.2857142857142857,0.26256442070007324,0.7142857142857143
201,0.6129032258064516,0.2880227565765381,0.3870967741935484
202,0.047619047619047616,0.25954413414001465,0.9523809523809523
203,0.07692307692307693,0.2884030342102051,0.9230769230769231
204,0.4827586206896552,0.2786424160003662,0.5172413793103448
205,0.5652173913043478,0.25456929206848145,0.4347826086956522
206,0.07692307692307693,0.26482725143432617,0.9230769230769231
207,0.05,0.2583465576171875,0.95
208,0.06896551724137931,0.26215028762817383,0.9310344827586207
209,0.5384615384615384,0.26572203636169434,0.46153846153846156
210,0.38095238095238093,0.2625267505645752,0.6190476190476191
211,0.0625,0.27057886123657227,0.9375
212,0.09523809523809523,0.2644054889678955,0.9047619047619048
213,0.2,0.2598996162414551,0.8
214,0.3225806451612903,0.2695789337158203,0.6774193548387097
215,0.043478260869565216,0.24659371376037598,0.9565217391304348
216,0.1,0.2545292377471924,0.9
217,0.16666666666666666,0.2641911506652832,0.8333333333333334
218,0.5789473684210527,0.27005934715270996,0.42105263157894735
219,0.26666666666666666,0.26508331298828125,0.7333333333333334
220,0.043478260869565216,0.2724883556365967,0.9565217391304348
221,0.07692307692307693,0.2503371238708496,0.9230769230769231
